ticker,current_universe_status,qualification,exchange_or_market,stocklookup_candidate,official_source,official_security_status
DVT,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DZM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
EAD,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
EGL,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
EMC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
EPC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
EPH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
FBA,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
FDG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
FLC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
GAB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
GE2,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
GTH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
GTX,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
HAI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HCB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HDO,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HEM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HGW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HHR,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HIG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HKP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HLG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HLR,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HNT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HPM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HRT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HSI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HTH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
HTR,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
